host_unix_s,host_elapsed_s,host_dt_s,mcu_timestamp_ms,mcu_elapsed_s,response_status,terminated,pendulum_angle_deg,pendulum_error_deg,pendulum_velocity_dps_est,rotor_angle_deg,rotor_velocity_dps_est,motor_speed_pps_observed,l6474_status_raw
1789387981.9573793,19.308535399963148,0.0208684999961406,977473,19.446,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.9776046,19.328456299961545,0.019920899998396635,977493,19.466,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.9962952,19.34743249998428,0.0189762000227347,977513,19.486,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.016334,19.367676399997436,0.020243900013156235,977533,19.506,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.0351748,19.386256100027822,0.018579700030386448,977553,19.526,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.0565507,19.407556299935095,0.021300199907273054,977573,19.546,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.076757,19.42777730000671,0.02022100007161498,977594,19.567,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.09441,19.446578399976715,0.018801099970005453,977614,19.587,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.1154191,19.46638959995471,0.019811199977993965,977634,19.607,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.1355429,19.486640900024213,0.020251300069503486,977654,19.627,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.156987,19.508410400012508,0.021769499988295138,977674,19.647,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.177378,19.528208400006406,0.019797999993897974,977694,19.667,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.1954644,19.5467437999323,0.018535399925895035,977715,19.688,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.215191,19.566684699966572,0.01994090003427118,977735,19.708,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.2342875,19.585339899989776,0.018655200023204088,977755,19.728,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.2558172,19.606843099929392,0.021503199939616024,977775,19.748,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387982.2784352,19.629232199979015,0.022389100049622357,977795,19.768,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
